P:\carob\llr\Data\2019\2019rc0086 N. Forster\TIN2_XRF\XRF data     6/09/2019  re-evaluated data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
peakarea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
filename,position (mm),sample surface,validity,E-gain,E-offset,F-slope,F-offset,cps,MSE,Al,Si,P,S,Cl,Ar,K,Ca,Ti,V,Cr,Mn,Fe,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Rb,Sr,Zr,Sb,Ba,La,Ce,Pr,Nd,Sm,Yb,Hf,Ta,Pb,Bi,Mo inc,Mo coh,Dt
P:\carob\llr\Data\2019\2019rc0086 N. Forster\TIN2_XRF\XRF data\L000000.spe,71.15,NaN,1,0.010509,-0.018814,0.009111,0.078997,368401,1.58,200,502,70,238,5512,993,3843,3322,4289,301,267,5481,136398,1413,853,1017,718,311,954,1024,12874,2175,2116,1451,0,145,0,0,0,5,177,0,0,579,1333,750,261080,52197,0.503
P:\carob\llr\Data\2019\2019rc0086 N. Forster\TIN2_XRF\XRF data\L000001.spe,72.15,NaN,1,0.010509,-0.018814,0.009111,0.078997,368564,1.52,251,467,89,280,5493,976,3646,3005,4126,257,214,5873,131574,1356,528,1096,823,275,904,993,13829,2083,2395,2098,0,0,0,25,8,0,121,0,39,551,1368,750,261405,51223,0.504
P:\carob\llr\Data\2019\2019rc0086 N. Forster\TIN2_XRF\XRF data\L000002.spe,73.15,NaN,1,0.010509,-0.018814,0.009111,0.078997,368621,1.5,156,332,126,279,5162,1024,3426,2845,3685,207,167,5804,117477,1317,621,913,274,421,828,1028,14485,2099,2476,2183,0,96,0,0,43,31,112,0,27,235,952,858,266563,51821,0.506
P:\carob\llr\Data\2019\2019rc0086 N. Forster\TIN2_XRF\XRF data\L000003.spe,74.15,NaN,1,0.010509,-0.018814,0.009111,0.078997,382805,1.52,124,372,67,249,5566,884,3517,2979,3902,209,242,5406,115590,1470,788,1032,0,271,840,1034,15720,2190,2332,2188,0,25,0,52,0,60,88,0,27,410,985,857,271537,51281,0.514
P:\carob\llr\Data\2019\2019rc0086 N. Forster\TIN2_XRF\XRF data\L000004.spe,75.15,NaN,1,0.010509,-0.018814,0.009111,0.078997,392706,1.59,135,371,124,278,5501,840,3846,3353,4003,282,240,6127,148110,1290,582,736,67,428,1187,1071,15859,2459,2659,1937,0,84,19,0,9,15,199,0,0,442,842,897,265879,51201,0.517
P:\carob\llr\Data\2019\2019rc0086 N. Forster\TIN2_XRF\XRF data\L000005.spe,76.15,NaN,1,0.010509,-0.018814,0.009111,0.078997,390298,1.6,170,342,90,292,5868,877,3899,3286,4047,266,205,6160,143766,1240,660,742,198,357,1053,1086,16194,2280,2572,2429,20,16,0,49,14,0,158,0,0,658,823,610,262912,50769,0.515
P:\carob\llr\Data\2019\2019rc0086 N. Forster\TIN2_XRF\XRF data\L000006.spe,77.15,NaN,1,0.010509,-0.018814,0.009111,0.078997,387105,1.63,204,478,95,257,5877,879,3954,3198,4436,269,260,6786,159227,1238,694,976,5,536,1345,1139,15802,1917,2352,1880,0,147,0,0,0,12,122,0,0,491,857,921,257423,49557,0.512
P:\carob\llr\Data\2019\2019rc0086 N. Forster\TIN2_XRF\XRF data\L000007.spe,78.15,NaN,1,0.010509,-0.018814,0.009111,0.078997,374736,1.39,209,478,115,242,5822,834,4188,5088,4036,305,192,6188,149750,1205,677,857,0,310,1254,897,14352,2376,2718,2225,12,38,0,0,0,0,145,0,0,361,1092,660,254566,50102,0.504
P:\carob\llr\Data\2019\2019rc0086 N. Forster\TIN2_XRF\XRF data\L000008.spe,79.15,NaN,1,0.010509,-0.018814,0.009111,0.078997,394864,1.57,146,374,163,313,5844,823,3939,3200,4385,404,304,6695,216927,1420,684,1166,426,537,2609,965,13752,2607,2945,1917,0,0,0,16,0,18,122,0,0,298,2097,576,245757,49998,0.51
P:\carob\llr\Data\2019\2019rc0086 N. Forster\TIN2_XRF\XRF data\L000009.spe,80.15,NaN,1,0.010509,-0.018814,0.009111,0.078997,393364,1.48,220,378,139,247,5850,817,3716,3254,4059,380,256,6203,180408,1368,820,1113,544,317,2351,1143,15242,2181,2782,1869,20,46,0,0,0,0,61,10,0,142,2154,771,252999,50590,0.513
