Gene| 	Name
psbA|	photosystem II protein D1
matK|	maturase K
psbK|	photosystem II protein K
atpF|	ATP synthase CF0 subunit I
atpH|	ATP synthase CF0 subunit III
atpI|	ATP synthase CF0 subunit IV
psbD|	photosystem II protein D2
psbZ|	photosystem II protein Z
rbcL|	ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit
atpB|	ATP synthase CF1 beta subunit
accD|	acetyl-CoA carboxylase carboxyltransferase beta subunit
petA|	cytochrome f
psbE-psbF|	photosystem II cytochrome b559 alpha subunit/photosystem II cytochrome b559 beta subunit
psbN-psbH|	photosystem II protein N/photosystem II phosphoprotein
petD|	cytochrome b6/f complex subunit IV
rpl14-rpl16|	ribosomal protein L14/ribosomal protein L16
rpoC1|	β subunit of RNA polymerase
ndhK|	NADH-plastoquinone oxidoreductase subunit K
ndhF|	NADH-plastoquinone oxidoreductase subunit 5
ndhC|	NADH-plastoquinone oxidoreductase subunit 3
